CustomerID,Lookalike1,Lookalike2,Lookalike3
C0001,"('C0137', 0.9999760744554356)","('C0152', 0.9999512581210065)","('C0107', 0.9963983604476289)"
C0002,"('C0142', 0.9923237804484972)","('C0177', 0.9744812852490708)","('C0043', 0.9695636004243717)"
C0003,"('C0133', 0.9989191532022407)","('C0052', 0.9977152611110504)","('C0192', 0.9839543569048451)"
C0004,"('C0113', 0.9932742267970033)","('C0102', 0.9893132131115234)","('C0012', 0.985967424986034)"
C0005,"('C0159', 0.9999338335836799)","('C0186', 0.9969706156703498)","('C0007', 0.9841746631569637)"
C0006,"('C0158', 0.9885088252201482)","('C0168', 0.975341785210415)","('C0187', 0.9629102888621879)"
C0007,"('C0159', 0.9861479609355337)","('C0005', 0.9841746631569637)","('C0115', 0.9784759253390762)"
C0008,"('C0109', 0.9816332981630587)","('C0139', 0.9646953234916094)","('C0098', 0.946195830078985)"
C0009,"('C0062', 0.9895764049212195)","('C0198', 0.9876658949337963)","('C0121', 0.9848028250436693)"
C0010,"('C0199', 0.9981856783018741)","('C0121', 0.9883480514072666)","('C0166', 0.9864341311146431)"
C0011,"('C0107', 0.9994455160430945)","('C0048', 0.9992878943750295)","('C0152', 0.9941383756823008)"
C0012,"('C0155', 0.999473779145566)","('C0108', 0.9959790800136796)","('C0013', 0.9875198271430498)"
C0013,"('C0087', 0.9946217971391005)","('C0155', 0.992108844435128)","('C0104', 0.9881524684086922)"
C0014,"('C0060', 0.9994393425294635)","('C0198', 0.9919276240991801)","('C0063', 0.9848148422175158)"
C0015,"('C0144', 0.9996534189089207)","('C0020', 0.9924177046874882)","('C0058', 0.9899573557729443)"
C0016,"('C0183', 0.9999790234633884)","('C0117', 0.9752484400007819)","('C0154', 0.9744808792151479)"
C0017,"('C0124', 0.9815691544809675)","('C0075', 0.9774301407276904)","('C0051', 0.960507421971875)"
C0018,"('C0016', 0.973180808614312)","('C0183', 0.9716703959371471)","('C0079', 0.9679267727938429)"
C0019,"('C0172', 0.9999923481635247)","('C0111', 0.9747195566442858)","('C0103', 0.9735329101392489)"
C0020,"('C0058', 0.9967965585604205)","('C0033', 0.9931058923168785)","('C0015', 0.9924177046874882)"
